Ciclo,RMP,DESC_FIN,DESC_PROPOSITO,DESC_PP,DESC_AI
2009,16S047,Contribuir a mejorar la salud y la calidad de vida de la población en el país.,Población abastecida con agua desinfectada y de calidad apta para su consumo.,Programa de Agua Limpia,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S049,Contribuir a que los gobiernos estatales cuenten con dependencias ambientales con un desarrollo institucional adecuado para realizar la gestión ambiental en el ámbito de su competencia.,"Las dependencias ambientales estatales cuentan con la capacidad institucional adecuada para la gestión ambiental con la profesionalización del personal de mando medio y técnico -operativo, con estudios elaborados en materia ambiental, de legislación ambiental y ordenamiento ecológico y con los equipos técnicos especializados en operación.",Programa de Desarrollo Institucional Ambiental (PDIA),Conservación de la biodiversidad en ecosistemas saludables
2009,16S071,Contribuir a estabilizar el ingreso de la población objetivo en el medio rural.,"La población rural mayor de 16 años temporalmente desocupada obtiene un ingreso temporal, por su participación en la ejecución de proyectos de infraestructura social básica y productiva inicial y acciones de preservación del medio ambiente.",Programa de Empleo Temporal (PET),Conservación de la biodiversidad en ecosistemas saludables
2009,16S074,"Contribuir al mejoramiento de la habitabilidad en sectores de localidades urbanas, a través del suministro del servicio de agua potable.","Población en zonas urbanas dotada con mejores servicios de agua potable, alcantarillado y/o saneamiento.","Programa de Agua Potable, Alcantarillado y Saneamiento en Zonas Urbanas",Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S075,"Contribuir a incrementar el acceso y calidad de los servicios de agua potable, alcantarillado y saneamiento en las comunidades rurales.",La población rural cuenta con sistemas de agua potable y saneamiento y participa organizadamente en la prestación de los servicios.,Programa para la Construcción y Rehabilitación de Sistemas de Agua Potable y Saneamiento en Zonas Rurales,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S079,"Contribuir a mejorar la productividad del agua en el sector agrícola, para reducir el consumo de líquido en actividades agrícolas y lograr un manejo integral y sustentable del recurso.",Organizaciones de usuarios de los distritos de riego disponen de infraestructura hidroagrícola eficiente.,Programa de Rehabilitación y Modernización de Distritos de Riego,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S080,Contribuir a mejorar la productividad del agua en el sector agrícola para reducir el consumo del líquido en riego y alcanzar un manejo integral y sustentable del recurso.,Infraestructura hidroagrícola conservada por las organizaciones de usuarios de los Distritos de Riego.,Programa de Desarrollo Parcelario,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S110,"Contribuir a la conservación y protección de los recursos forestales, utilizando los mecanismos de pago por servicios ambientales hidrológicos",Las áreas forestales prioritarias para la provisión de servicios ambientales asociados al ciclo hidrológico son conservadas.,Proárbol - Programa de Pago por Servicios Ambientales (PSA),"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16S122,"Contribuir a conservar y restaurar los ecosistemas para frenar el deterioro del capital natural MEDIANTE la recuperación de la vegetación forestal, la restauración de suelos y el mantenimiento de la salud de las áreas forestales.",La superficie forestal y preferentemente forestal es conservada y restaurada.,Proárbol - Programa de Conservación y Restauración de Ecosistemas Forestales (PROCOREF),"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16S136,"Se contribuye en la reduccion de la degradacion, fragmentacion y perdida de los recursos forestales y se coadyuva en la mitigación de los efectos de cambio climático","Se mantiene la biodiversidad, y la formación de corredores biológicos (sistemas agroforestales de cultivo)cultivos bajo sombra).","Proárbol - Programa de servicios ambientales por captura de carbono, biodiversidad y sistemas agroforestales (CABSA)","Proárbol: Bosques recuperados, protegidos y productivos"
2009,16S217,"Contribuir al mejoramiento en el uso del agua de riego en las Unidades de Riego con aprovechamiento superficial y subterráneo, mediante la rehabilitación de pozos, modernización y tecnificación de la infraestructura hidroagrícola para reducir (eficientar )el consumo del líquido en riego y alcanzar un manejo sustentable del agua.","Los productores agrícolas de las unidades de riego cuentan con pozos, infraestructura de riego modernizada y/o tecnificada.",Programa de Modernización y Tecnificación de Unidades de Riego,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S218,Contribuir a mejorar el nivel de calidad de vida de los habitantes incrementando la infraestructura de tratamiento de aguas residuales.,El agua residual municipal es tratada.,Fondo Concursable para el Tratamiento de Aguas Residuales,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16S226,Contribuir a la conservación del patrimonio forestal nacional evitando el impacto negativo del fuego en ecosistemas forestales.,Se disminuyó el impacto negativo del fuego en ecosistemas forestales.,ProÁrbol.- Apoyo para las Acciones Preventivas de Incendios Forestales,"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16U001,,,Programa de Devolución de Derechos,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U003,Contirbuir a conservar y restaurar los ecosistemas forestales mediante el abastecimiento de planta en la ejecucion de proyectos de reforestacion,Los proyectos de reforestacion son abastecidos de manera oportuna con planta de calidad,ProÁrbol - Manejo de Germoplasma Producción de Planta y Proyectos especiales de Reforestación,"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16U005,"Contribuir a la mejora de la calidad de vida de los habitantes de ejidos y comunidades preferentemente indígenas, de las zonas forestales de los estados de Durango, Guerrero, Jalisco, Michoacán, Oaxaca y Quintana Roo, incrementando el flujo de bienes y servicios de los bosques y áreas de conservación.","Los ejidos y comunidades preferentemente indígenas realizan acciones de planeación y organización forestal, implementación de proyectos productivos, talleres de capacitación y estudios técnicos y conservación de la biodiversidad.",Proárbol - Promoción de la producción y la productividad de los Ecosistemas Forestales de manera sustentable,"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16U006,"Contribuir en el desarollo forestal sustentable impulsando la participación organizada de los silvicultores a nivel regional, estatal y nacional.","Silvicultores con alto nivel de organización, autogestión y participación en las Unidades de Manejo Forestal",Proárbol - Programa de asistencia técnica para el acceso a los programas forestales,"Proárbol: Bosques recuperados, protegidos y productivos"
2009,16U007,,,Devolución de Aprovechamientos,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U008,,,Programa de Saneamiento de Aguas Residuales,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U009,,Se redujo el esfuerzo pesquero con redes agalleras y enmalle para evitar la captura incidental de vaquita (Phocoena sinus) en el Area de Refugio y así impulsar su conservación.,Programa de Acción para la Conservación de la Vaquita Marina,Conservación de la biodiversidad en ecosistemas saludables
2009,16U010,Contribuir a consolidar la participación de los usuarios y la sociedad organizada en el manejo del agua y promover la cultura del buen uso.,Población informada y concientizada sobre el valor del recurso hídrico.,Programa de Cultura del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U012,"Contribuir a mejorar la calidad de vida de los habitantes del País, a través de la gestión integral de residuos sólidos urbanos implementando acciones del Programa Nacional para la Prevención y Gestión Integral de Residuos","Se incrementan en el País los residuos sólidos urbanos (RSU) recolectados y manejados integralmente, aprovechando al máximo su potencial, y dispuestos apropiadamente en la menor cantidad posible",Prevención y gestión integral de residuos,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.
2009,16U014,"Contribuir a la conservación, protección, restauración y aprovechamiento sustentable de los recursos naturales a través de la implantación de sistemas de planeación e información institucional",Se cuenta con sistemas de planeación e información institucional consolidados,Sistema de Información Ambiental,Información y educación forestal
2009,16U015,"Apoyar la gestión integral de los recursos hídricos con la corresponsabilidad de los tres órdenes de gobierno, de los usuarios y de la sociedad en general",Fortalecer la participación de los usuarios del agua y de la sociedad organizada en el manejo del agua con una perspectiva de cuenca,Programa para incentivar el desarrollo organizacional de los Consejos de Cuenca,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U016,,,Eficientar la infraestructura para el desarrollo hidroagrícola,Manejo eficiente y sustentable del agua y prevención de inundaciones
2009,16U017,,,Programa Ecológico Texcoco,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.
2009,17E002,"Contribuir al fortalecimiento del estado de derecho y la seguridad nacional, a través de la integración de averiguaciones previas",Las solicitudes de órdenes judiciales contribuyen a la procuración de justicia,Combate a delitos del fuero federal,Investigación del delito federal
2009,17E003,"Contribuir al fortalecimiento del estado de derecho y la seguridad nacional, a través de la integración de averiguaciones previas en materia de delincuencia organizada",Las averiguaciones previas consignadas son el sustento para la procuración e impartición de justicia.,Combate a la delincuencia organizada,Investigación del delito federal
2009,17E005,"Contribuir al fortalecimiento del estado de derecho y la seguridad nacional, a través de la confiabilidad del personal de la Institución",El personal vinculado a la procuración de justicia es evaluado en materia de control de confianza,Centros de Control de Confianza,Investigación del delito federal
2009,17E008,"Contribuir al fortalecimiento del estado de derecho, a través de la defensa de los intereses de la Federación",Los intereses de la Federación son defendidos,Representación jurídica de la federación en el ámbito interno y coordinación de las atribuciones del Ministerio Público en el ámbito internacional,Representación jurídica de la Federación en el ámbito interno e internacional
2009,17E009,"Contribuir al fortalecimiento del estado de derecho, a través del fomento al respeto a los derechos humanos",Los derechos humanos son promovidos en la PGR,Promoción del respeto a los derechos humanos,Representación jurídica de la Federación en el ámbito interno e internacional
2009,17E010,"Contribuir al fortalecimiento del estado de derecho, a través de la actualización del personal involucrado en la procuración de justicia",Conocimientos de vanguardia generados en materia de ciencias penales,Investigación científica en el marco de las ciencias penales,Investigación del delito federal
2009,17K022,,,Proyectos de infraestructura gubernamental de procuración de justicia,Investigación del delito federal
2009,17K027,,,Mantenimiento de infraestructura,Investigación del delito federal
2009,17M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2009,17O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2009,18E002,Contribuir a la sustentabilidad energética promoviendo la eficiencia energética y el aprovechamiento de la energía renovable,En México la energía es aprovechada eficientemente,Establecimiento y promoción de medidas para el ahorro de energía y aprovechamiento de energía renovable,Ahorro de energía y fomento de fuentes renovables
2009,18E003,"Contribuir al desarrollo del país mediante la investigación científica y desarrollo tecnológico en materia nuclear y disciplinas afines, impulsando proyectos vinculados con la sociedad.","Realizar investigación y desarrollo en el campo de las ciencias y tecnología nucleares, así como promover los usos pacíficos de la energía nuclear y difundir los avances alcanzados para vincularlos al desarrollo económico, social, científico y tecnológico del País.",Investigación y desarrollo tecnológico y de capital humano en energía nuclear,Investigación y desarrollo tecnológico y de capital humano en energía nuclear
2009,18E004,,,Investigación y desarrollo tecnológico en materia petrolera,Investigación y desarrollo tecnológico en materia petrolera
2009,18E005,"Contribuir al desarrollo tecnológico del Sector Eléctrico, mediante la aplicación de los resultados de la investigación en esta materia.","Empresas del Sector Eléctrico, son apoyadas en sus procesos operativos con el desarrollo tecnológico.",Investigación y desarrollo tecnológico y de capital humano en energía eléctrica,Investigación y desarrollo tecnológico y de capital humano en energía eléctrica
2009,18E016,,,Prestación de bienes y servicios en materia nuclear,Investigación y desarrollo tecnológico y de capital humano en energía nuclear
2009,18E203,,,"Adaptación, mantenimiento y conservación de la infraestructura de las instalaciones de LyFC",Servicios y funciones técnicas para el suministro de energía eléctrica
2009,18E204,"Identifica la variación de la cantidad de energía eléctrica generada en un año, con respecto al año anterior|Contribuir a una economía competitiva y generadora de empleos a través de que se satisface la demanda actual y futura eléctrica de los clientes de la zona de influencia de LFC oportunamente con confiabilidad y calidad.","Se tiene la capacidad para atender la demanda y energía eléctrica actual y futura, con calidad, eficacia y eficiencia, requeridos en la zona que atiende Luz y Fuerza del Centro.",Generación de energía eléctrica.,Generación de energía eléctrica
2009,18E206,,,Adquisición de energía eléctrica,Distribución y Comercialización de Energía Eléctrica
2009,18E570,Asegurar la distribución de energía eléctrica confiable y de calidad para contribuir a la prestación del servicio público de energía eléctrica,Se distribuye la energía eléctrica para satisfacer la demanda del sistema eléctrico nacional y garantizar la continuidad del suministro,Operación y mantenimiento de los procesos de distribución y de comercialización de energía eléctrica,Distribución y Comercialización de Energía Eléctrica
2009,18F008,"Contribuir a reducir el consumo de electricidad, mediante la sustitución de equipos electrodomésticos.",Los usuarios residenciales reducen su consumo de energía eléctrica al emplear electrodomésticos más eficientes.,Programa de sustitución de equipos electrodomésticos para el ahorro de energía,Ahorro de energía y fomento de fuentes renovables
2009,18G001,"Contribuir en el proceso de garantizar el suministro de Gas a precios competitivos, minimizando el impacto al medio ambiente y con estandares de calidad y de seguridad internacionales, ya que las verificaciones a las Instalaciones de Gas L.P. fortalecen las medidas de seguridad.","Que las instalaciones de transporte, almacenamiento y distribución de Gas LP operan en condiciones óptimas de seguridad, para minimizar el impacto en el medio ambiente y dar seguridad a la población de los riesgos que conlleva el manejo del Gas L.P. por los permisionarios.","Otorgamiento de permisos y verificación de instalaciones para almacenamiento y distribución de gas LP, aprobación de unidades de verificación y elaboración y actualización de normas oficiales mexicanas en esta materia",Regulación eficiente del sector energético
2009,18G002,"Contribuir a la eficiencia económica del sector eléctrico garantizando la seguridad, confiabilidad y continuidad en el servicio, a través de la aplicación del marco regulatorio.",El sector Energético en México es regulado eficientemente y transparentemente|El sector eléctrico promueve la generación de electricidad con fuentes renovables.,"Regulación y supervisión del otorgamiento de permisos y la administración de estos, en materia de electricidad, gas natural y gas licuado de petróleo",Regulación eficiente del sector energético
2009,18G003,"Asegurar que las actividades donde se involucra materiales nucleares, radiactivo y fuentes de radiación ionizante se lleven a cabo con la máxima seguridad mediante la reglamentación y supervisión de la seguridad nuclear, radiológica y física, y de las salvaguardias de las instalaciones nucleares y radiactivas, con el fin de proteger al público, a los trabajadores y al medio ambiente.","Proteger a la población, a los trabajadores y al ambiente regulando y supervisando las actividades de las instalaciones nucleares y radiactivas para que estas se realicen con la máxima seguridad","Regulación y supervisión de la seguridad nuclear, radiológica y física de las instalaciones nucleares y radiológicas",Regulación eficiente del sector energético
2009,18M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2009,18O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2009,18O099,,,Operación del Servicio Profesional de Carrera en la Administración Pública Federal Centralizada,Función pública y buen gobierno
2009,18P001,,"Los sectores social, privado y público son informados de los avances alcanzados en la ejecución de las políticas públicas en materia energética.",Conducción de la política energética,Regulación eficiente del sector energético
2009,18P002,Mejorar la eficiencia financiera de los suministradores evitando facturaciones erróneas y robo por alteraciones al medidor,Conciliar quejas presentadas por usuarios del servicio público de energía eléctrica contra los suministradores,Coordinación de la implementación de la política energética y de las entidades del sector electricidad,Regulación eficiente del sector energético
2009,18P003,"Garantizar el abasto suficiente,oprtuno y seguro de energía.",,Coordinación de la implementación de la política energética y de las entidades del sector hidrocarburos,Regulación eficiente del sector energético
2009,18R001,Contribuir a la generación eléctrica del país,Operación continua de la Central Nucleolectrica de Laguna Verde con altos niveles de eficiencia.,Cuotas a Organismos Internacionales de Energía,Regulación eficiente del sector energético
2009,18R011,,,Proceso de liquidación de Luz y Fuerza del Centro,Distribución y Comercialización de Energía Eléctrica
2009,19J006,,,Apoyo para cubrir el déficit de la nómina de pensiones del ISSSTE,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19J007,,,Pensiones de Trato Especial,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19J008,,,Pensiones y Jubilaciones en curso de Pago,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19J009,,,Pensiones Civiles Militares y de Gracia,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19J011,,,"Aportaciones Estatutarias al Seguro de Retiro, Cesantia en Edad Avanzada y Vejez",Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19J012,,,"Cuota Social al Seguro de Retiro, Cesantía en Edad Avanzada y Vejez",Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19J014,,,Apoyo Económico a Viudas de Veteranos de la Revolución Mexicana,Pagar otras prestaciones sociales a cargo al Gobierno Federal
2009,19J021,,,Pensión Mínima Garantizada IMSS,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19R010,,,Pagas de Defunción y Ayuda para Gastos de Sepelio,Pagar otras prestaciones sociales a cargo al Gobierno Federal
2009,19R013,,,Compensaciones de Carácter Militar con Pago único,Pagar otras prestaciones sociales a cargo al Gobierno Federal
2009,19R015,,,Apoyo a jubilados del IMSS e ISSSTE,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19R018,,,Apoyo para cubrir el gasto de operación del ISSSTE,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19R023,,,Adeudos con el IMSS e ISSSTE,Pensiones y Jubilaciones a cargo del Gobierno Federal
2009,19R024,,,Infraestructura para la Función Salud en Seguridad Social ISSSTE,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19R026,,,Gastos de Transición Ley del ISSSSTE,Gasto de Transición nueva Ley del ISSSTE
2009,19S038,Garantizar el derecho a la salud de los mexicanos que carecen de Seguridad Social y que habitan en condiciones de marginación.,"La población que carece de seguridad social, adscrita al Programa IMSS-Oportunidades, y que habita prioritariamente en zonas rurales y urbano-marginadas del país, mejora su estado de salud a través del Modelo de Atención Integral a la Salud, el cual se fundamenta en la participación conjunta con la comunidad, con énfasis en la prevención de riesgos y daños a partir del auto-cuidado de la salud.",Programa IMSS-Oportunidades,Administración del Programa IMSS-Oprtunidades
2009,19T001,,,Seguro de Enfermedad y Maternidad,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19T002,,,Seguro de Invalidez y Vida,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19T003,,,Seguro de Salud para la Familia,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19T005,,,11% de Haberes y Haberes de Retiro,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19T006,,,CUOTA SOCIAL SEGURO DE SALUD ISSSTE,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,19U001,,,Seguridad Social Cañeros,Aportaciones de seguridad social a cargo del Gobierno Federal
2009,20B004,,,"Programa de adquisición de leche nacional a cargo de LICONSA, S. A. de C. V.","Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20E003,Contribuir a abatir la marginación y el rezago en la población de Adultos Mayores con el fin de proveer igualdad en las oportunidades que les permitan desarrollarse con independencia y plenitud.,Mejorar la calidad de vida de los ciudadanos de 60 años o más afiliados al INAPAM.,Servicios a grupos con necesidades especiales,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20F001,Contribuir a la igualdad de oportunidades fortaleciendo la participación de las OSC en las instancias consultivas de fomento,OSC y otros actores sociales son fortalecidos con la particpación del Consejo Técnico Consultivo de la Ley de Fomento,Fomento del desarrollo de las organizaciones de la sociedad civil,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural"
2009,20K025,,,Proyectos de inmuebles ( oficinas administrativas ),Servicios de apoyo administrativo
2009,20M001,,,Actividades de apoyo administrativo,Servicios de apoyo administrativo
2009,20O001,,,Actividades de apoyo a la función pública y buen gobierno,Función pública y buen gobierno
2009,20O099,,,Operación del Servicio Profesional de Carrera en la Administración Pública Federal Centralizada,Función pública y buen gobierno
2009,20P001,,,"Definición y conducción de la política de desarrollo social, el ordenamiento territorial y la vivienda",Planeación de proyectos urbanos para estados y municipios
2009,20P002,,,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda","Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20P003,Contribuir a mejorar el desempeño y la rendición de cuentas de la Política de Desarrollo Social mediante el uso de la información de evaluación y medición de la pobreza.,Las dependencias y entidades de la APF vinculadas al desarrollo social y los gobiernos de las entidades federativas usan la información de evaluación y medición de la pobreza,Actividades orientadas a la evaluacion y al monitoreo de los programas sociales,"Definición, conducción y evaluación de la política de desarrollo social y el ordenamiento urbano y regional"
2009,20R001,,,Incorporación y recertificación de familias beneficiarias,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20R009,,,Evaluación y estudios de los programas sociales,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20R010,,,Estudios y acciones de planeación del desarrollo urbano,Planeación de proyectos urbanos para estados y municipios
2009,20S048,"Contribuir a la superación de la pobreza y al mejoramiento de la calidad de vida de los habitantes de las zonas urbano-marginadas, fortaleciendo y mejorando la organización y participación social, así como el entorno urbano de dichos asentamientos.","Condiciones físicas y comunitarias de las zonas urbano-marginadas para el desarrollo de sus habitantes y la integración de éstos a la dinámica de las ciudades, mejoradas.",Programa Habitat,Apoyo en zonas urbanas marginadas
2009,20S052,Contribuir al desarrollo de capacidades básicas mejorando los niveles de nutrición de la población en condiciones de pobreza patrimonial.,"Los hogares beneficiarios en pobreza patrimonial acceden al consumo de leche fortificada, de calidad, a bajo precio.","Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.",Atención de la población urbana y rural en pobreza
2009,20S053,"Contribuir al desarrollo de capacidades básicas, mejorando la nutrición de la población que habita en localidades rurales.","Localidades rurales entre 200 y 2500 habitantes de alta y muy alta marginación, son abastecidas de productos básicos y complementarios de calidad en forma económica, eficiente y oportuna.","Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",Oferta de productos básicos a precios competitivos
2009,20S054,"Contribuir al desarrollo de capacidades para acceder a fuentes de ingreso sostenible de la población que vive en condiciones de pobreza patrimonial, a través del apoyo económico a iniciativas productivas y el acompañamiento técnico y organizacional","Personas, unidades familiares, grupos sociales y organizaciones de productores en condiciones de pobreza patrimonial, cuentan con alternativas de ingreso.",Programa de Opciones Productivas,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural"
2009,20S057,"Contribuir a mejorar las fuentes de ingreso de los artesanos en situación de pobreza, mejorando sus condiciones productivas.",Artesanos en situación de pobreza mejoran su condición productiva.,Programas del Fondo Nacional de Fomento a las Artesanías (FONART),"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza"
2009,20S058,Contribuir a que los mexicanos en situación de pobreza patrimonial mejoren su calidad de vida a través de acciones de vivienda.,Familias mexicanas habitantes del territorio nacional en situación de pobreza patrimonial mejoran sus condiciones habitacionales.,Programa de Ahorro y Subsidio para la Vivienda Tu Casa,Apoyo a la Vivienda Social
2009,20S061,"Contribuir con el fortalecimiento de los vínculos de los mexicanos en el exterior con sus comunidades de origen, realizando acciones coordinadas con los tres órdenes de gobierno que permitan mejorar la calidad de vida en dichas comunidades",La coordinación entre autoridades gubernamentales y los migrantes para invertir en sus comunidades de origen u otras localidades es fortalecida,Programa 3 x 1 para Migrantes,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20S065,Contribuir a abatir el rezago que enfrentan los jornaleros agrícolas y sus familias mediante acciones orientadas a generar la igualdad de oportunidades y la ampliación de sus capacidades.,La población jornalera agrícola y sus familias cuentan con condiciones para la igualdad de oportunidades y la ampliación de sus capacidades,Programa de Atención a Jornaleros Agrícolas,"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza"
2009,20S070,Contribuir a la igualdad de oportunidades construyendo capital social mediante el fortalecimiento de actores sociales,Actores sociales son fortalecidos con la ejecución de proyectos de coinversión.,Programa de Coinversión Social,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural"
2009,20S071,"Contribuir a abatir el rezago en el ingreso de hombres y mujeres de 16 años o más, en zonas de alta marginación y alto índice de desempleo, mediante la entrega de un apoyo temporal en su ingreso por su participación en proyectos de beneficio comunitario","La población objetivo beneficiada obtiene un ingreso temporal para afrontar los efectos de una emergencia natural, económica o de baja demanda laboral.",Programa de Empleo Temporal (PET),"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza"
2009,20S072,"Contribuir a la ruptura del ciclo intergeneracional de la pobreza extrema, favoreciendo el desarrollo de las capacidades en educación, salud y nutrición de las familias beneficiarias de Oportunidades","Las familias en pobreza extrema beneficiarias de Oportunidades amplían sus capacidades en educación, salud y nutrición.",Programa de Desarrollo Humano Oportunidades,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20S117,"Contribuir a que las familias rurales e indígenas que habitan en localidades de alta y muy alta marginación de hasta 5,000 habitantes en situación de pobreza patrimonial mejoren su calidad de vida a través de acciones de vivienda.","Familias mexicanas que habitan en localidades rurales e indígenas de alta y muy alta marginación de hasta 5,000 habitantes mejoran sus condiciones habitacionales.",Programa de Vivienda Rural,Apoyo a la Vivienda Social
2009,20S118,Contribuir al desarrollo de las capacidades básicas mejorando la nutrición de la población,Familias en pobreza patrimonial que reciben los apoyos del Programa mejoran sus niveles de alimentación y nutrición,Programa de Apoyo Alimentario cargo de Diconsa S.A de C.V.,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,20S155,"Contribuir a disminuir la violencia contra las mujeres, a través de la prevención, detección y atención que brindan las Instancias de las Mujeres en las Entidades Federativas","Instancias de las Mujeres en las Entidades Federativas son fortalecidas para prevenir, detectar y atender la violencia contra las mujeres.","Programa de Apoyo a las Instancias de Mujeres en las Entidades Federativas, Para Implementar y Ejecutar Programas de Prevención de la Violencia Contra las Mujeres","Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural"
2009,20S174,Contribuir a abatir el rezago en materia de acceso y permanencia en el trabajo que enfrentan las madres trabajadoras y padres solos con hijos entre 1 y 3 años 11 meses (un día antes de cumplir los 4 años) en hogares con ingresos de hasta 6 salarios mínimos incrementando la oferta y apoyando la demanda de los servicios de cuidado infantil.,"Madres trabajadoras y padres solos con hijos entre 1 y 3 años 11 meses (un día antes de cumplir los 4 años) en hogares con ingresos de hasta 6 salarios mínimos, cuentan con tiempo disponible para acceder, permanecer en el mercado laboral y/o estudiar por el uso de servicios de cuidado infantil.",Programa de estancias infantiles para apoyar a madres trabajadoras,Apoyo a las madres trabajadoras en el cuidado de sus hijos
2009,20S175,"Contribuir a mejorar la calidad de vida y la seguridad ciudadana, preferentemente de la población en condición de marginación, mediante el rescate de espacios públicos en las ciudades y zonas metropolitanas de 50,000 o más habitantes.","Espacios públicos con deterioro, abandono e inseguridad, en ciudades y localidades urbanas integradas en zonas metropolitanas de 50,000 o más habitantes, son rescatados para el uso y disfrute de la comunidad y propician la sana convivencia.",Rescate de espacios públicos,Apoyo en zonas urbanas marginadas
2009,20S176,Contribuir a abatir el rezago que enfrentan los adultos mayores de 70 años y más mediante acciones orientadas a fomentar su protección social.,Adultos mayores de 70 años y más cuentan con mayor ingreso y protección social,Programa 70 y más,Apoyo a adultos mayores en pobreza
2009,20S213,"Contribuir a mejorar la calidad de vida en las ciudades, otorgando seguridad jurídica a los hogares en condiciones de pobreza patrimonial que viven en asentamientos humanos irregulares, para consolidar ciudades eficientes, seguras y competitivas.",Hogares en condiciones de pobreza patrimonial que viven en asentamientos humanos irregulares son apoyados para que cuenten con certeza jurídica respecto a su patrimonio.,Programa de apoyo a los avecindados en condiciones de pobreza patrimonial para regularizar asentamientos humanos irregulares ( PASPRAH ),Ordenación y regularización de la propiedad rural y urbana
2009,20S216,Contribuir a la reducción de las disparidades regionales a través de infraestructura social que permita la integración de las regiones marginadas a los procesos de desarrollo y detone las potencialidades productivas.,Territorios objetivo tienen mayor acceso a infraestructura social básica y cuentan con viviendas mejoradas,Programa para el Desarrollo de Zonas Prioritarias,Apoyo a pequeñas comunidades rurales
2009,20S224,,,Programa alimentario para zonas marginadas,Apoyo a pequeñas comunidades rurales
2009,20U006,"Contribuir a la integración de las regiones a los procesos de desarrollo para disminuir las disparidades regionales, mediante la coordinación intersectorial, interinstitucional y entre niveles de gobierno.",Los gobiernos federal y de las entidades federativas se coordinan para impulsar el desarrollo regional sustentable.,Programa de impulso al desarrollo regional,Planeación de proyectos urbanos para estados y municipios
2009,20U007,,,Credencialización para Adultos Mayores,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza"
2009,21E005,La SECTUR impulsará una política turística que permitirá incrementar la participación del PIB turístico en el PIB nacional.,Turistas asistidos y orientados,Servicios de orientación y asistencia turística,Atención y trato a los turistas
